五星评分,有用数,评论
还行,221,太硬太直给了，无穷无尽的金句和观点想要输出，节奏也不给人喘息的机会，确实非常像看了一场脱口秀表演，离开戏院时觉得好累好累。也许是这个时代需要的电影，也理解大家对它的喜爱，但实在不是我喜欢的电影。（曾慕梅很好，天才小演员！）
力荐,404,那段声音蒙太奇是今年最爱top3。她时而在职场时而在家庭，她不是隐形家务淹没的看不见的女性，她是山川是大地，是细碎日常编织的宇宙万物
推荐,218,女性意识觉醒之后，女性该怎样生活，如何处理所有人都会面对的现实问题，导演试图用这部电影来探讨这个问题，这是以前的华语电影里没人拍过的。在故事情节和人物设定之外，更触动我的是上海这座大城市里年轻人的状态，上海让这里的年轻人可以拥有如此开放如此美好的精神状态，按照自己的价值标准去生活。她们可以不遵循上一辈人订好的人生模板，就算意识到自己的性格缺陷有来自上一辈的原生家庭影响，也可以把这个问题终结在自己身上，不去毒害下一代，用一种更平等更自由的思想去教育孩子关心朋友，我觉得这部电影值得所有年龄段的人观看。
还行,996,"难以想象这部略显聒噪的电影居然能在豆瓣打9.1分，我可能真的落伍了…女性主义，上野千鹤子，结构性压迫，雄竞，亲密关系障碍，原生家庭问题，看不见的女性，lgbt 群体…这些爆点话题一股脑得堆砌在2个多小时的电影里真的不嫌冗杂吗？高分佳作理应是，现象层面看似“一英寸宽”，思想层面却达“一英尺深”的电影，此片何德何能？在我的认知里，艺术家的使命在于还原，将事件本身，思想本身以及纯粹的价值观念呈现给观众，而不是直白生硬的观念输出。而这部电影则以高密度金句轰炸疯狂传递价值观，把观众，特别是女性观众哄得兴奋不以，那我为什么不直接去看脱口秀呢？
我实在厌恶这种献媚的演绎方式，哪怕它献媚的对象多数是受女性主义影响的人，哪怕这种价值导向本身对我有益我也一样厌恶。真的受不了半点居高临下的说教求求了🥺"
力荐,933,温暖、流利、轻盈、勇敢、四两拨千斤。非常适合约上姐妹、女性亲友一起享受这123分钟。我抹眼泪时，瞄到身边女孩也推起眼镜片擦泪。
还行,488,一场盛大的梗与段子、金句与说教的疯狂堆砌。无聊乏味的剧情，生硬突兀的台词，不自然的演技，还有纸片一样单薄的人物，结果就是电影开场一个多小时了我还迟迟入不了戏。比起一部女性主义电影，其实拍的更像是一篇女性主义作文，还是小学生的那种，三句话之内就要扣一下题，一切都是那么的刻意，不仅离女性主义很远，甚至离电影本身都很远。如此不满还有很大一个原因是期望值过高。豆瓣9.1分意味着什么？意味着《怦然心动》，意味着《哈尔的移动城堡》，意味着《猫鼠游戏》，意味着《罗马假日》，但我实际上得到了什么呢？女性主义电影的形式当然可以是轻松幽默的，但其严肃的内核是绝不能被消解的，我想要一部让男人哑口无言，坐立难安，被戳到痛点却只能讪笑的电影。我并不是对女性导演和女性议题苛刻，只是这一切远远不够，远远不够，远远不够。
力荐,585,好看好看！邵艺辉，上海梧桐区Woody Allen
推荐,297,鼓掌，好看！非常妙！邵艺辉每回拍桌戏都是那么精彩。这简直就是豆瓣人自己拍的电影。
还行,620,观点文本很好，像听了一期小宇宙播客，看了一篇微信公号，看一场脱口秀，就都可以不是电影。喜欢听声音那段蒙太奇，很绝，很电影，很生活。
还行,550,我发现市面上华语女性题材影视作品普遍有以下几个通病：1.纯粹把作品当成主创输出意识形态的载体，矛盾冲突设计百分百服务于表达主旨，缺乏文学性和必然性；2. 通过堆叠罗列抽象概念的方式appeal影片中的“时尚单品”，反而刻意、不自然、说服力变弱和不接地气；3.把角色当成金句输出工具人，呈现出的角色形象或单薄扁平或严重失真。虽然本片虽然人物形象和台词设计特别用心，很多场戏让我很能共情，但以上问题事实上是全部存在的。如果主创的目的是创作“文艺作品”，那么应该试图贴近的应是真实生活而非正确概念，也应放弃高高在上的自我展现和说教立场；如果只是想用投机取巧的方式迎合目标受众，那以上的话当我没说，但至少应出于对观众眼睛的人道主义保护把章宇换掉。。。最后说一句邵艺辉比起前作严重退步，本观众比较失望
还行,246,六七分是有的，九分属实过誉了。要素过多：单亲妈妈、缺爱、恋爱脑、月经羞耻、上野千鹤子、女鼓手、结构性压迫、性别原罪、调查记者，甚至还有男司机车臭的梗，极尽所能地讨好女性。可是我们吐槽男司机车臭是指冬天不通气时，电影里不过是秋天，还不至于臭吧……与其说是女性主义，不如说是一场巨大的女性主义表演。两个男主角对女权书籍的背诵，堪称魔幻现实主义，我甚至觉得他俩在反讽？我个人很害怕男人主动提女权，高喊女性主义的男人往往是为了收割女性。两性永远无法真正共鸣，互相尊重即可，不必谁当谁的舔狗。另一个我不能苟同的地方是，两个女主又抽烟又喝酒，对待感情和私生活也有点乱，或许是想表达自由，可是向下的自由值得歌颂吗？真正的女性主义，不必时时把女权挂在嘴上，独立自信，健康向上，认真生活，往那儿一站就是女权本权。
力荐,1377,真的是特别好的好东西，能排上今年院线国产片TOP5！充满灵性的都市生活细节，充满温度和真实感的大群戏，充满真正有态度的女性话题。邵艺辉导演再次用生活流的日常琐事、错落有致的笑点，包装起先锋犀利的讨论：原生家庭、职场歧视、两性关系、月经羞耻……同时也打破了各种对女性固有形象与男子气概的刻板印象。最爱吃饭那场戏，幽默轻盈又火花四溅。女人们互相拥抱，男人们也去油成功。
还行,487,此片开创了爹味说教的反面，“孩味”说教，为了金句而拍的电影，故事情节很弱，但有几句还是戳到心里，给三星吧
推荐,180,图式化的人物、理想化的职场、景观式的女性主义、美好到梦幻的Sisterhood，但开分9.1说明了，大家多么渴望且欣喜“属于我们自身的话语”“我们自身的观点输出”可以堂堂正正出现大银幕，上桌吃饭，不必再依附于男性表达。看得出导演脱离“小妞电影”范式的努力。尤其男性角色的设置，“弟狗感”的章宇，“做题家”似的前夫，高声套用女权概念时宛如背诵考点，甚至笨拙出了一种可爱的样式。女权此时成了一种投名状、赎罪券，一张获准进入亲密关系的门票。也看出导演的探讨意图，及多数意识觉醒的女性都曾反复思索的课题：身为一名女权主义者兼异性恋者，在处理亲密关系时，“准入”门槛是什么？今后该以如何态度接纳男性才能达到自洽？导演把讽刺感处理得很温和，包括最后章宇那句工具人的自嘲，未见有多冒犯男性群体，最多是句今非昔比之叹罢了。
推荐,163,很多方面挺难得的国产电影，看了不亏，心情好；在我这里扣分点是男性的部分很虚浮，像用十年前的“豆瓣女权男”人设对男人进行无害化处理，还有章宇明显用错了地方，硬是把折耳根做成了甜点。
较差,613,一部非常上海的电影：以为自己很松弛，实际上又做作又生硬。作为女生听到这种台词都犯尴尬癌
力荐,644,我毫不避讳地承认现在进影院观国产电影于我而言就是一种投票行为。
还行,230,不是太喜欢大幅度观点输出，一切都说得太明的感觉，不太像电影了，看完感觉自己是读完了一篇公众号文章
较差,320,如果要我选，我也想9岁就能穿5000块的amiri卫衣，住月租1w5的岳阳路老洋房，在学校音乐班听fusion jazz，在摩登天空当鼓手演出，活在性别更加平等的世界里，同时期待着明天会更好。每个人都可以去表达自己选择的未来，或是在通往理想未来的某个阶段中的迂回、曲折与憧憬。只是当我戴上手套，尝试艰难搬动占据了盲道的共享单车时，总会想不起未来模糊的样子
力荐,829,1.今年最好的喜剧片之一，甚至是多年以来就性别与相关社会现实讲述得最犀利、最幽默又最温暖的国产电影。2.细腻，敏锐，新颖，多元，轻盈，灵动，剧本、表演和视听精妙恰切。信息量大，金句迭出，妙语无穷，却毫不刻意，完全没有主题先行或放大对立。3.以调侃讽刺自嘲的形式展露问题，每个幽默都很接地气，又能激发多层次思考。4.人物情感真切动人，小叶让茉莉猜录音声源的蒙太奇&铁梅和小叶的几次拥抱都令我泪流满面。5.主要角色活得坦荡、真诚，纵使不无摩擦争执及各自的小缺点，却终究能有所自省、各自洒脱，又包容彼此、润泽对方~ 6.片中“新型家庭关系”也特别治愈，正是俩女主在邻居母女伴侣朋友之间游移变化界限模糊的关系，传神地表达了本片的人生态度：反思刻板印象，超克不合理的游戏规则；尊重自己的节奏，也容让他人的活法。（9.0/10）
还行,233,有个评价我觉得很敏锐也很贴切：新时代阶级斗争“样板戏”
较差,486,你很难说它有什么深度的表达，甚至没有新鲜的表达，像是微博发言串起来的电影。狡黠投机的心眼已经写在了脸上，但显然它自有广大受众。
还行,278,无论如何，我就是对金句型电影金句型电视剧喜欢不起来，导演和编剧仿佛无时无刻不再说:“瞧，我的精神状态就是这么领先。”ta无需直面任何困难的情境，不需要给我一个真正的人的行动，ta只需要不厌其烦地用一次次抖机灵和金句撑过一个又一个的场面。对不起，我想我知道为什么会有很多人喜欢，也许问题出在我身上。
